k,bin_mid_years,hazard_per_year_empirical,hazard_per_year_exact_erlang,rel_err,survival_left,events_in_bin,n_at_risk_left
2,0.5,0.002255,0.0023671497584541066,0.047377551020408276,1.0,451,200000
2,1.5,0.00656480363219059,0.006651583710407243,0.01304652876590504,0.997745,1310,199549
2,2.5,0.010638673520346652,0.01042553191489362,0.020444194808760325,0.991195,2109,198239
2,3.5,0.013995819099576812,0.013775100401606429,0.016023019182106506,0.98065,2745,196130
2,4.5,0.016433539312769863,0.01676806083650191,0.019949923070641407,0.966925,3178,193385
2,5.5,0.01923693660065087,0.019458483754512642,0.011385632953564213,0.951035,3659,190207
2,6.5,0.02135643373287304,0.021890034364261176,0.024376418168594535,0.93274,3984,186548
2,7.5,0.02388751341995136,0.024098360655737713,0.008749443117664958,0.91282,4361,182564
2,8.5,0.02604894418163555,0.02611285266457681,0.0024473956852654557,0.891015,4642,178203
2,9.5,0.026895443100696585,0.027957957957957972,0.03800402228442984,0.867805,4668,173561
2,10.5,0.029018372579088535,0.029654178674351588,0.02144069145347712,0.844465,4901,168893
2,11.5,0.03066613005512464,0.031218836565096955,0.017704263540373157,0.81996,5029,163992
2,12.5,0.03179356202386719,0.032666666666666684,0.026727693146923262,0.794815,5054,158963
2,13.5,0.03366274876712863,0.03401028277634962,0.010218498079135642,0.769545,5181,153909
2,14.5,0.03529933838954333,0.03526054590570721,0.0011001668533396386,0.74364,5250,148728
2,15.5,0.03594279262325931,0.036426858513189456,0.013288708104073028,0.71739,5157,143478
2,16.5,0.03745635153013642,0.03751740139211137,0.0016272412189983652,0.691605,5181,138321
2,17.5,0.03746432326873967,0.03853932584269665,0.02789365279363585,0.6657,4988,133140
2,18.5,0.03859479368250203,0.03949891067538127,0.022889669042006143,0.64076,4946,128152
2,19.5,0.039803256334918755,0.04040169133192389,0.014812127346071584,0.61603,4904,123206
2,20.5,0.040937600378691825,0.041252566735112954,0.007635072950576882,0.59151,4843,118302
2,21.5,0.04137177306339735,0.042055888223552905,0.0162668104052175,0.567295,4694,113459
2,22.5,0.04188847515285248,0.04281553398058253,0.021652394389159797,0.543825,4556,108765
2,23.5,0.04329760385379382,0.043534971644612494,0.00545234743131046,0.521045,4512,104209
2,24.5,0.04311062519433884,0.04421731123388584,0.025028343168430688,0.498485,4298,99697
2,25.5,0.04428767597144624,0.04486535008976661,0.012875729648037005,0.476995,4225,95399
2,26.5,0.04347730712703183,0.04548161120840632,0.04406844938255036,0.45587,3964,91174
2,27.5,0.0449833734663456,0.046068376068376084,0.02355200453387132,0.43605,3923,87210
2,28.5,0.04689807532988342,0.04662771285475795,0.005798321611176384,0.416435,3906,83287
2,29.5,0.045313110190095866,0.0471615008156607,0.039192786353208,0.396905,3597,79381
2,30.5,0.046223477251134806,0.0476714513556619,0.030374030228788457,0.37892,3503,75784
2,31.5,0.04708014554308878,0.04815912636505461,0.02240449325818258,0.361405,3403,72281
2,32.5,0.047315543424605824,0.04862595419847329,0.02694879299476268,0.34439,3259,68878
2,33.5,0.04750148585013487,0.04907324364723469,0.03202881408040761,0.328095,3117,65619
2,34.5,0.04966241080285431,0.049502196193265034,0.0032365151833621377,0.31251,3104,62502
2,35.5,0.04877268594902185,0.0499139167862267,0.022863980843109463,0.29699,2897,59398
2,36.5,0.04914957257393675,0.050309423347398054,0.023054344420771263,0.282505,2777,56501
2,37.5,0.0488050033504579,0.0506896551724138,0.0371802060113749,0.26862,2622,53724
2,38.5,0.05025243630386286,0.05105548037889041,0.01572885161530238,0.25551,2568,51102
2,39.5,0.05052128404829604,0.05140770252324039,0.017242911692924145,0.24267,2452,48534
2,40.5,0.04960722190877132,0.05174706649282921,0.04135199788290248,0.23041,2286,46082
