k,mu_per_year,n_lineages,empirical_mean_years,analytic_mean_years,empirical_std_years,analytic_std_years,empirical_median_years,empirical_p05_years,empirical_p95_years
2,0.07,200000,28.561688896244522,28.57142857142857,20.221882181435546,20.203050891044214,23.9359984561389,5.0534448389597,67.73377746263861
3,0.07,200000,42.88062735393041,42.857142857142854,24.77324265938753,24.74358296526967,38.24836593430348,11.678719004912313,89.90667618916925
4,0.07,200000,57.19199505827729,57.14285714285714,28.589065864416526,28.57142857142857,52.453121687083,19.5252587068261,110.84077137264401
5,0.07,200000,71.44657455419936,71.42857142857142,31.898422391750234,31.943828249996994,66.7628380134895,28.34872992352531,130.51948487395094
6,0.07,200000,85.67903689978847,85.71428571428571,35.000791453411445,34.99271061118825,80.95692807293308,37.30659235433384,150.15705899898182
7,0.07,200000,99.98273767303853,99.99999999999999,37.762383130772086,37.79644730092272,95.3185571505512,46.79155240449815,169.00193121165742
