k,n_bins_used,early_survival_floor,fit_t_min_years,fit_t_max_years,fit_mu_t_max,fitted_slope,predicted_slope_k_minus_1,analytic_window_slope,slope_minus_prediction,slope_minus_analytic_window,fitted_intercept,analytic_intercept,intercept_minus_analytic,r_squared,bin_width_years,min_events_per_bin
2,4,0.97,nan,nan,nan,nan,1,nan,nan,nan,nan,-5.318520073865556,nan,nan,1.0,30
3,9,0.97,1.5,9.5,0.665,1.6787073229300813,2,1.7112637628443492,-0.3212926770699187,-0.03255643991426793,-8.521015658096648,-8.670927291358279,0.14991163326163104,0.999146698583346,1.0,30
4,14,0.97,3.5,16.5,1.155,2.3473605461780713,3,2.421868399777013,-0.6526394538219287,-0.07450785359894185,-11.65309307951474,-12.428799616959168,0.7757065374444281,0.9971307268696875,1.0,30
5,17,0.97,8.5,24.5,1.715,2.903661469359133,4,2.95856361132791,-1.096338530640867,-0.05490214196877696,-14.628657436854823,-16.474354015011833,1.8456965781570105,0.9919129598087661,1.0,30
6,20,0.97,13.5,32.5,2.2750000000000004,3.4141361357726843,5,3.504586310870458,-1.5858638642273157,-0.09045017509777376,-17.40750522457634,-20.743051964378715,3.335546739802375,0.9882250067146583,1.0,30
7,22,0.97,20.5,41.5,2.9050000000000002,4.062684570791898,6,3.9425049000327066,-1.9373154292081018,0.12017967075919156,-20.739907771051982,-25.194071470539548,4.454163699487566,0.9895581380826576,1.0,30
