alpha,mean_neo_success,expected_neutral,depletion_ratio,p_zero_neo
0.0,3.00294,3.0,1.00098,0.015725
0.05,2.44566162406538,3.0,0.8152205413551267,0.05904287177109295
0.1,2.3880268295124636,3.0,0.7960089431708212,0.07728501351486636
0.2,2.3571593867515186,3.0,0.7857197955838395,0.09094590685565519
0.5,2.327860967710905,3.0,0.775953655903635,0.09766890050341488
