cv,age,hazard_analytic,survival_analytic,hazard_mc,events_mc
0.0,1.0,1.8701734478402143e-11,0.9999999999967967,0.0,0
0.0,2.0,5.895456616313003e-10,0.9999999998026343,0.0,0
0.0,3.0,4.410210570733524e-09,0.9999999977806739,0.0,0
0.0,4.0,1.8307902534004734e-08,0.999999987689353,0.0,0
0.0,5.0,5.503946953859807e-08,0.9999999536377066,0.0,0
0.0,6.0,1.3491680648989784e-07,0.9999998633289016,0.0,0
0.0,7.0,2.872668975995628e-07,0.9999996597614345,0.0,0
0.0,8.0,5.517354673377408e-07,0.9999992515502171,0.0,0
0.0,9.0,9.794428480571808e-07,0.9999985020175959,0.0,0
0.0,10.0,1.6340003217299554e-06,0.9999972172001401,1.6666666666666667e-05,1
0.0,11.0,2.59239485462685e-06,0.9999951329058816,0.0,0
0.0,12.0,3.945749816874697e-06,0.9999919009502373,1.6666944449074153e-05,1
0.0,13.0,5.799968963314219e-06,0.999987074693502,0.0,0
0.0,14.0,8.276270647623418e-06,0.999980093991866,0.0,0
0.0,15.0,1.1511618947946051e-05,0.9999702696738852,0.0,0
0.0,16.0,1.5659058098955856e-05,0.999956767641633,0.0,0
0.0,17.0,2.0887956352081703e-05,0.9999385926980593,1.666722224074136e-05,1
0.0,18.0,2.7384165122209614e-05,0.9999145721908443,5.000250012500625e-05,3
0.0,19.0,3.5350099025264055e-05,0.9998833395635129,6.667333400006668e-05,4
0.0,20.0,4.50047421663504e-05,0.9998433178999702,3.333888981496916e-05,2
0.0,21.0,5.658358580232707e-05,0.9997927035446015,0.0,0
0.0,22.0,7.03385022754746e-05,0.9997294498801378,3.3340001333600056e-05,2
0.0,23.0,8.653755989606281e-05,0.999651251341827,0.00013336445170539793,8
0.0,24.0,0.00010546478324080233,0.9995555277476825,5.0018340058021274e-05,3
0.0,25.0,0.0001274198631311413,0.9994394090231148,0.00016673614005835764,10
0.0,26.0,0.00015271782035985242,0.9992997203983789,0.00021679312932543985,13
0.0,27.0,0.0001816886270461054,0.999132968160414,0.00016680010675206833,10
0.0,28.0,0.0002146767893179603,0.9989353260398935,0.00021687631376997765,13
0.0,29.0,0.0002520408948467334,0.9987026223186903,0.00023360977156301624,14
0.0,30.0,0.0002941531285896905,0.998430327744464,0.00026704498038888425,16
0.0,31.0,0.0003413987599358397,0.9981135443437736,0.0002671163124593065,16
0.0,32.0,0.00039417560429392363,0.997746995227745,0.0002838869128133193,17
0.0,33.0,0.00045289346201191527,0.9973250154899391,0.00036748738850098556,22
0.0,34.0,0.0005179735373731158,0.9968415442996867,0.0005347236147316356,32
0.0,35.0,0.0005898478402751456,0.9962901183002704,0.0006018859091821039,36
0.0,36.0,0.0006689585730645742,0.9956638664251796,0.0006858940042826552,41
0.0,37.0,0.0007557575048713485,0.994955506251887,0.0006361429647610279,38
0.0,38.0,0.0008507053356634593,0.9941573420177001,0.0005862941186324271,35
0.0,39.0,0.0009542710521232132,0.9932612644269525,0.0008380543729677181,50
0.0,40.0,0.0010669312773318807,0.9922587523834457,0.0009058578809635644,54
0.0,41.0,0.0011891696161392047,0.9911408767875202,0.0008730984922260653,52
0.0,42.0,0.0013214759979881577,0.989898306538983,0.0009746916277350183,58
0.0,43.0,0.0014643460188631704,0.9885213168923088,0.0015139281388776747,90
0.0,44.0,0.0016182802839318482,0.9869998003107621,0.0013309073755854307,79
0.0,45.0,0.0017837837523556163,0.9853232799683627,0.001585721756439886,94
0.0,46.0,0.0019613650856537884,0.9834809260475201,0.0015544479175466756,92
0.0,47.0,0.0021515360009180654,0.9814615749786311,0.0017430152471527931,103
0.0,48.0,0.002354810630090299,0.9792537517643533,0.002373283607391083,140
0.0,49.0,0.0025717048864354335,0.976845695526137,0.002344944774851317,138
0.0,50.0,0.0028027358392636735,0.974225388401883,0.0025378116909660717,149
0.0,51.0,0.0030484210978811324,0.9713805879155745,0.003415125591243618,200
0.0,52.0,0.0033092782056762878,0.9682988629249786,0.0027757311995613657,162
0.0,53.0,0.0035858240451804033,0.9649676332410333,0.003917458462913009,228
0.0,54.0,0.0038785742548737697,0.9613742129917481,0.0036223759336242735,210
0.0,55.0,0.004188042658445689,0.957505857784059,0.003843290687810536,222
0.0,56.0,0.0045147407071550886,0.9533498156929886,0.004553275056046992,262
0.0,57.0,0.004859176935879644,0.9488933820786852,0.00436460133731385,250
0.0,58.0,0.005221856433385186,0.9441239582018933,0.004979922495572428,284
0.0,59.0,0.005603280327292784,0.9390291135737076,0.006203189708344347,352
0.0,60.0,0.006003945284169349,0.9335966519388769,0.00501835334172681,283
0.0,61.0,0.00642434302511786,0.9278146807489857,0.00575654963464623,323
0.0,62.0,0.006864959857195658,0.9216716839399764,0.007044651979851936,393
0.0,63.0,0.007326276220944054,0.9151565977802453,0.007130736180813806,395
0.0,64.0,0.0078087662542687545,0.9082588895058126,0.007254677357770141,399
0.0,65.0,0.008312897372869317,0.9009686384078497,0.007802197802197802,426
0.0,66.0,0.008839129867375936,0.8932766189832945,0.007992764056558497,433
0.0,67.0,0.009387916517314366,0.8851743857037956,0.009322491207830148,501
0.0,68.0,0.009959702221983483,0.8766543589030171,0.010086401202103681,537
0.0,69.0,0.010554923648295801,0.8677099112246133,0.010303018803483673,543
0.0,70.0,0.011174008895598905,0.858335454019229,0.011273006134969326,588
0.0,71.0,0.011817377177464205,0.8485265230236205,0.011886294888699293,613
0.0,72.0,0.012485438520400807,0.8382798626028859,0.011734924154712612,598
0.0,73.0,0.013178593479423923,0.8275935077900087,0.01368122158019102,689
0.0,74.0,0.013897232870381315,0.8164668633115344,0.012703333870188436,631
0.0,75.0,0.01464173751891617,0.8049007787500059,0.013621255684019494,668
0.0,76.0,0.015412478025921682,0.7928976189639112,0.015153081264341678,733
0.0,77.0,0.01620981454932065,0.7804613288582724,0.016204869857262806,772
0.0,78.0,0.017034096601982403,0.7675974915885788,0.016215754886062986,760
0.0,79.0,0.017885662865570594,0.7543133792727863,0.017827708857465083,822
0.0,80.0,0.018764841020096894,0.7406179952931256,0.01817338691869452,823
0.0,81.0,0.019671947588939302,0.7265221072889868,0.019611812068461416,872
0.0,82.0,0.020607287799067668,0.712038269971977,0.018857103530545295,822
0.0,83.0,0.021571155456205075,0.6971808369406985,0.021838247328672636,934
0.0,84.0,0.022563832834640456,0.6819659607308812,0.022421417473407434,938
0.0,85.0,0.023585590581395068,0.6664115804119829,0.024207154559014107,990
0.0,86.0,0.02463668763443532,0.6505373961284243,0.02428145438143684,969
0.0,87.0,0.025717371154613228,0.6343648300888165,0.02414094201037547,940
0.0,88.0,0.02682787647100785,0.6179169736228571,0.026948786778251486,1024
0.0,89.0,0.02796842703933205,0.6012185200573646,0.02693784821766647,996
0.0,90.0,0.02913923441306222,0.584295683307136,0.027155483906831954,977
0.0,91.0,0.030340498226942146,0.5671761022308421,0.0296562955344133,1038
0.0,92.0,0.0315724061925068,0.5498887309672278,0.02988546359273327,1015
0.0,93.0,0.03283513410526749,0.5324637156395999,0.031018574723807212,1022
0.0,94.0,0.03412884586319536,0.5149322579941821,0.031040531228465826,991
0.0,95.0,0.0354536934961382,0.4973264667191169,0.03504121545175368,1084
0.0,96.0,0.03680981720580205,0.47967919737140563,0.035543197882818,1061
0.0,97.0,0.03819734541592886,0.4620238820185527,0.03709621396318166,1068
0.0,98.0,0.03961639483229938,0.44439434987162246,0.03910251785585456,1084
0.0,99.0,0.04106707051219039,0.4268246403523878,0.036827089120804866,981
0.0,100.0,0.04254946594291715,0.40934881018489405,0.040339868262072726,1035
0.0,101.0,0.044063663129090144,0.39200073623845944,0.04130452440906506,1017
0.0,102.0,0.045609732688219884,0.37481391596390906,0.0450328320271129,1063
0.0,103.0,0.047187733954302626,0.3578212673589887,0.045958654955194744,1036
0.0,104.0,0.04879771508902477,0.34105493046790064,0.048405096252208686,1041
0.0,105.0,0.05043971320022491,0.3245460724627019,0.04725140483752749,967
0.0,106.0,0.052113754467257314,0.3083246983664856,0.05108216227305365,996
0.0,107.0,0.053819854272903214,0.2924194694624013,0.05058912549994595,936
0.0,108.0,0.055558017341481636,0.27685753138264335,0.050609131276329274,889
0.0,109.0,0.05732823788281569,0.2616643537924014,0.0542063920369371,904
0.0,110.0,0.05913049974171474,0.246863583471255,0.057566727952830785,908
0.0,111.0,0.060964776552638905,0.23247691245304217,0.05805583585603767,863
0.0,112.0,0.06283103189921749,0.21852396271355795,0.05956291958291673,834
0.0,113.0,0.064729219478299,0.2050221886986547,0.06105710814094775,804
0.0,114.0,0.06665928326821599,0.1919867987638535,0.06890973794888386,852
0.0,115.0,0.068621157700955,0.17943069635533426,0.06488881167477414,747
0.0,116.0,0.0706147678379282,0.16736444150497928,0.06809103576405016,733
0.0,117.0,0.0726400295490489,0.15579623294333605,0.07047448165869219,707
0.0,118.0,0.0746968496948226,0.14473191085816264,0.06766756032171582,631
0.0,119.0,0.0767851263111687,0.1341749800492602,0.0769496204278813,669
0.0,120.0,0.07890474879669883,0.12412665295566003,0.07177570093457944,576
0.3,1.0,5.975716751917395e-11,0.9999999999900063,0.0,0
0.3,2.0,1.8686503653823907e-09,0.999999999372989,0.0,0
0.3,3.0,1.3867106941684464e-08,0.9999999929974525,0.0,0
0.3,4.0,5.7107667100045504e-08,0.999999961422221,0.0,0
0.3,5.0,1.7032269358742358e-07,0.9999998557023025,0.0,0
0.3,6.0,4.1420906780787843e-07,0.9999995775043767,0.0,0
0.3,7.0,8.749972342679715e-07,0.9999989553009893,0.0,0
0.3,8.0,1.6673662094180443e-06,0.9999977173280467,0.0,0
0.3,9.0,2.936760113739114e-06,0.9999954619321504,0.0,0
0.3,10.0,4.8611553497055554e-06,0.9999916258825939,1.6666666666666667e-05,1
0.3,11.0,7.652320731116957e-06,0.9999854511784229,1.6666944449074153e-05,1
0.3,12.0,1.1556605733999996e-05,0.9999759508439927,1.666722224074136e-05,1
0.3,13.0,1.6855284708698e-05,0.9999618741776541,1.6667500041668752e-05,1
0.3,14.0,2.3864477543878502e-05,0.9999416718975195,5.0003333555570374e-05,3
0.3,15.0,3.293466013070449e-05,0.9999134616161761,6.667444535195772e-05,4
0.3,16.0,4.444977130502518e-05,0.9998749940717543,5.000916834753038e-05,3
0.3,17.0,5.8825917046016564e-05,0.9998236205464417,0.00013336445170539793,8
0.3,18.0,7.650966790348727e-05,0.9997562619132224,0.00010003668011604255,6
0.3,19.0,9.79759422453432e-05,0.999669379767034,5.0023344227306075e-05,3
0.3,20.0,0.00012372546628612902,0.9995589501152993,0.00015007754006236555,9
0.3,21.0,0.00015428180227137865,0.9994204401230685,0.00011674449633088726,7
0.3,22.0,0.0001901879388871509,0.999248788427237,0.00020015678948509665,12
0.3,23.0,0.00023200244308757952,0.99903838954972,0.0003503445054303398,21
0.3,24.0,0.00028029518011395745,0.9987830829480124,0.0002837116154873164,17
0.3,25.0,0.00033564261839779557,0.9984761472403215,0.00025040482112748943,15
0.3,26.0,0.00039862274801088935,0.9981103001283147,0.0002671653753673524,16
0.3,27.0,0.00046980965488551156,0.9976777045110263,0.00035074826296098346,21
0.3,28.0,0.0005497678075475506,0.9971699812364211,0.0004678284406275584,28
0.3,29.0,0.0006390461278126393,0.9965782288709756,0.0005014793641241662,30
0.3,30.0,0.0007381719309190541,0.9958930507822407,0.000535179703309752,32
0.3,31.0,0.0008476448329997927,0.9951045897247156,0.0008199327320493298,49
0.3,32.0,0.0009679307337454489,0.9942025699975505,0.0009713290460878885,58
0.3,33.0,0.0010994559887938017,0.9931763471058294,0.0011399067958561035,68
0.3,34.0,0.0012426018891811142,0.9920149647093972,0.0010237304064713187,61
0.3,35.0,0.0013976995637039148,0.9907072184888187,0.0013271734565308694,79
0.3,36.0,0.0015650254141251296,0.9892417264019913,0.0013794031558052686,82
0.3,37.0,0.0017447971829427423,0.987607004653023,0.0016339869281045752,97
0.3,38.0,0.0019371707393135908,0.9857915485522893,0.0013666964752729175,81
0.3,39.0,0.0021422376513119297,0.9837839173187397,0.001858547629506978,110
0.3,40.0,0.002360023592808474,0.9815728217670395,0.0023190466517706006,137
0.3,41.0,0.0025904876118083035,0.9791472137371358,0.002443203990566518,144
0.3,42.0,0.0028335222650680172,0.9764963760651327,0.0027213198401224593,160
0.3,43.0,0.00308895460219247,0.9736100118642441,0.0028140189306728063,165
0.3,44.0,0.0033565479620854535,0.9704783318834319,0.0033350436121087736,195
0.3,45.0,0.0036360045263673156,0.9670921387391996,0.003329043329043329,194
0.3,46.0,0.003926968558787167,0.9634429068712393,0.0038911175771767013,226
0.3,47.0,0.004229030247176845,0.9595228571530963,0.004096448016593207,237
0.3,48.0,0.004541730055359903,0.9553250251915336,0.0043042104897775,248
0.3,49.0,0.004864563486702905,0.9508433224690965,0.0046888617744465745,269
0.3,50.0,0.005196986158575607,0.9460725896196656,0.004798514912173167,274
0.3,51.0,0.005538419087634231,0.9410086412719513,0.005120805251025041,291
0.3,52.0,0.005888254089212786,0.9356483020467755,0.006190745719541531,350
0.3,53.0,0.006245859199784504,0.9299894334465103,0.006531876268109494,367
0.3,54.0,0.006610584038978792,0.9240309515251424,0.00675397266163851,377
0.3,55.0,0.006981765036537212,0.917772835371786,0.0071245626059665956,395
0.3,56.0,0.007358730459404094,0.9112161265759379,0.006975856994931604,384
0.3,57.0,0.007740805184444348,0.9043629199670278,0.007518796992481203,411
0.3,58.0,0.008127315172680966,0.8972163460317345,0.007428297574282976,403
0.3,59.0,0.008517591611118838,0.8897805455089559,0.008969525896488329,483
0.3,60.0,0.008910974697903572,0.8820606367431596,0.008244949968144512,440
0.3,61.0,0.00930681705554606,0.8740626764419567,0.008974794996787968,475
0.3,62.0,0.009704486765078338,0.8657936145330231,0.009113267621208366,478
0.3,63.0,0.010103370021198608,0.8572612438495016,0.010120639562849941,526
0.3,64.0,0.010502873414665222,0.8484741453925594,0.011137675666219605,573
0.3,65.0,0.010902425853405626,0.8394416299257808,0.010358925973974918,527
0.3,66.0,0.01130148013803928,0.8301736766498411,0.0110234969312968,555
0.3,67.0,0.011699514210828132,0.8206808696888469,0.012612467866323907,628
0.3,68.0,0.012096032099529207,0.8109743330931232,0.012366772435115124,608
0.3,69.0,0.01249056457931765,0.8010656650287598,0.011780212538100339,572
0.3,70.0,0.012882669576959598,0.790966871783141,0.0131918972990997,633
0.3,71.0,0.01327193234183739,0.7806903021696081,0.013326012122236067,631
0.3,72.0,0.013657965408352573,0.7702485828644958,0.01389126712328767,649
0.3,73.0,0.014040408373744108,0.7596545551573733,0.014694710338390744,677
0.3,74.0,0.014418927514537997,0.7489212135416582,0.014803718553112747,672
0.3,75.0,0.014793215263768991,0.7380616465185464,0.014176467957604758,634
0.3,76.0,0.015162989569846403,0.7270889799337353,0.014289602612955907,630
0.3,77.0,0.015527993156535913,0.7160163231141021,0.01592342031386626,692
0.3,78.0,0.01588799270204809,0.7048567180211931,0.015806949445821446,676
0.3,79.0,0.016242777953701104,0.6936230915905125,0.015965787598004277,672
0.3,80.0,0.016592160793099945,0.6823282113806617,0.016273117968033223,674
0.3,81.0,0.01693597426527139,0.6709846446144643,0.01710681327311997,697
0.3,82.0,0.01727407158373834,0.6596047206559111,0.016280869977776113,652
0.3,83.0,0.017606325122124275,0.6482004969317503,0.018555654270846555,731
0.3,84.0,0.017932625401562347,0.6367837282752254,0.017328781295261744,670
0.3,85.0,0.01825288008195158,0.6253658396416512,0.017581723430015267,668
0.3,86.0,0.018567012963959264,0.6139579021212036,0.019557413063280286,730
0.3,87.0,0.018874963007619438,0.6025706121533343,0.018171384850803367,665
0.3,88.0,0.019176683372417718,0.5912142738294893,0.018591188667167628,668
0.3,89.0,0.01947214048288585,0.5798987841561632,0.019170235090604882,676
0.3,90.0,0.019761313122949705,0.568633621138461,0.020036429872495445,693
0.3,91.0,0.020044191561576687,0.5574278345352183,0.019059420546409394,646
0.3,92.0,0.020320776711654102,0.5462900391299436,0.020993743984600577,698
0.3,93.0,0.020591079323484147,0.5352284103573637,0.020737327188940093,675
0.3,94.0,0.020855119213810405,0.5242506821227574,0.020266666666666665,646
0.3,95.0,0.021112924530875567,0.5133641466505555,0.021870697108456884,683
