k,s,age_midpoint,hazard_per_year
3,0.02,37.0,0.04634802
3,0.02,39.0,0.04902239
3,0.02,41.0,0.05176649
3,0.02,43.0,0.05331655
3,0.02,45.0,0.05420634
3,0.02,47.0,0.05447782
3,0.02,49.0,0.05557301
3,0.02,51.0,0.05512348
3,0.02,53.0,0.06033602
3,0.02,55.0,0.05809450
3,0.02,57.0,0.06102103
3,0.02,59.0,0.06122619
3,0.02,61.0,0.06408190
3,0.02,63.0,0.06328150
3,0.02,65.0,0.06193203
3,0.02,67.0,0.06088377
3,0.02,69.0,0.06398641
3,0.02,71.0,0.06038961
3,0.02,73.0,0.06193290
3,0.02,75.0,0.06394509
3,0.02,77.0,0.06917978
3,0.02,79.0,0.06490385
3,0.02,81.0,0.06372007
3,0.02,83.0,0.06521739
3,0.02,85.0,0.06529126
3,0.02,87.0,0.06839754
3,0.02,89.0,0.06209573
3,0.02,91.0,0.06129985
3,0.02,93.0,0.06649832
3,0.02,95.0,0.05776699
3,0.02,97.0,0.06147091
3,0.02,99.0,0.05944931
3,0.02,101.0,0.05752841
3,0.02,103.0,0.06661316
3,0.02,105.0,0.09166667
3,0.02,107.0,0.06349206
3,0.02,109.0,0.06103896
3,0.02,111.0,0.06360947
3,0.02,113.0,0.08135593
3,0.02,115.0,0.07085020
3,0.02,117.0,0.06839623
3,0.02,119.0,0.07923497
3,0.04,1.0,0.00016000
3,0.04,3.0,0.00131542
3,0.04,5.0,0.00370092
3,0.04,7.0,0.00635565
3,0.04,9.0,0.01013724
3,0.04,11.0,0.01445241
3,0.04,13.0,0.01869601
3,0.04,15.0,0.02295916
3,0.04,17.0,0.02774784
3,0.04,19.0,0.03184603
3,0.04,21.0,0.03549575
3,0.04,23.0,0.04058909
3,0.04,25.0,0.04317434
3,0.04,27.0,0.04565834
3,0.04,29.0,0.04810675
3,0.04,31.0,0.05122213
3,0.04,33.0,0.05345129
3,0.04,35.0,0.05586369
3,0.04,37.0,0.05850492
3,0.04,39.0,0.05933430
3,0.04,41.0,0.05993432
3,0.04,43.0,0.06260600
3,0.04,45.0,0.06148514
3,0.04,47.0,0.06433072
3,0.04,49.0,0.06475961
3,0.04,51.0,0.06379335
3,0.04,53.0,0.06619060
3,0.04,55.0,0.06608587
3,0.04,57.0,0.06638935
3,0.04,59.0,0.06485035
3,0.04,61.0,0.06437390
3,0.04,63.0,0.06595816
