k,p_malignancy,median_T,T_no_immune,delay_factor,mean_neoantigen,p_escaped
2,0.73152,22.0016684900513,23.933774307508045,0.9192728320810378,0.8192393919510061,0.15000273403324585
3,0.48804,35.46641749260468,38.28438012393393,0.9263939334473494,1.089562330956479,0.277005983116138
4,0.33188,50.941556719138035,52.45351797681139,0.9711752172973076,1.4117150777389418,0.44799325057249606
5,0.24674,68.15024649077273,66.90400790550004,1.0186272635121199,1.8504498662559778,0.6327308097592608
6,0.20077,85.80409948375049,80.79729010672673,1.0619675408718556,2.3770483637993722,0.7867211236738556
7,0.17868,102.09381250810168,95.38282000860985,1.0703585037524164,2.9659167226326395,0.8886277143496754
