k,mu_t_max_window,local_slope_at_mu_t_max,k_minus_1,deficit_below_k_minus_1
3,0.665,1.4129591951699594,2,0.5870408048300406
4,1.155,1.9413370785004616,3,1.0586629214995384
5,1.715,2.39975761802226,4,1.6002423819777398
6,2.2750000000000004,2.8472677468158705,5,2.1527322531841295
7,2.9050000000000002,3.23171651883874,6,2.76828348116126
